"ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","message_id","scope","deref_aliases","base_object","result_count","result","diagnostic_message","filter","attributes"
"1722307214.130677","C1cEDKh7Y5cd8dJP2","172.16.1.66","49769","172.16.1.4","389","1","base","never","-","1","success","-","(objectclass=*)"
"1722307239.020504","CrrnS9LeqPG91FeKb","172.16.1.66","49780","172.16.1.4","389","1","base","never","-","1","success","-","(objectclass=*)"
"1722307241.103539","CR3dil2nuU5m8dtKud","172.16.1.66","49783","172.16.1.4","389","1","base","never","-","1","success","-","(objectclass=*)"
"1722307241.110307","CR3dil2nuU5m8dtKud","172.16.1.66","49783","172.16.1.4","389","4","base","never","CN=Clark Collier,CN=Users,DC=wiresharkworkshop,DC=online","1","success","-","(objectClass=user)"
"1722307241.123191","CcifbC3AxD2487lECb","172.16.1.66","49785","172.16.1.4","389","9","base","never","CN=Clark Collier,CN=Users,DC=wiresharkworkshop,DC=online","1","success","-","(objectClass=user)"
"1722307332.007314","C2Il2I2lCKJ56S4ofd","172.16.1.66","49791","172.16.1.4","389","1","base","never","-","1","success","-","(objectclass=*)"
"1722307333.585569","CbpAUh2PCNbtCb12Oc","172.16.1.66","59906","172.16.1.4","389","12","base","never","-","1","success","-","(&(&(&(DnsDomain=wiresharkworkshop.online.)(Host=DESKTOP-SKBR25F))(NtVer=0xa0000016))(DnsHostName=DESKTOP-SKBR25F.wiresharkworkshop.online))"
"1722307333.689571","CCNUIB1SxWDrTY5kC1","172.16.1.66","49800","172.16.1.4","3268","7","base","never","-","1","success","-","(objectclass=*)"
"1722307333.692019","CCNUIB1SxWDrTY5kC1","172.16.1.66","49800","172.16.1.4","3268","10","tree","never","-","1","success","-","(&(&(objectClass=user)(objectCategory=person))(objectSid=01:05:00:00:00:00:00:05:15:00:00:00:20:c6:57:32:21:02:32:6a:2c:b6:15:1e:55:04:00:00))"
"1722307456.676444","CbxB5v33gXgicTdxXi","172.16.1.66","49811","172.16.1.4","389","1","base","never","-","1","success","-","(objectclass=*)"
"1722307456.680260","CbxB5v33gXgicTdxXi","172.16.1.66","49811","172.16.1.4","389","4","base","never","CN=Clark Collier,CN=Users,DC=wiresharkworkshop,DC=online","1","success","-","(objectClass=user)"
"1722307456.690871","CKYCBU1M8JXNa3IMPb","172.16.1.66","49812","172.16.1.4","389","9","base","never","CN=Clark Collier,CN=Users,DC=wiresharkworkshop,DC=online","1","success","-","(objectClass=user)"
